name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
W900,Sony,False,False,False,False,"2005, October",Discontinued,148 g (5.22 oz),109,49,24 mm (4.29,Mini-SIM,"TFT, 256K colors","2.2 inches, 33 x 45 mm, 15.0 cm2(~28.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",28.1%,,Removable Li-Po 900 mAh battery (BST-33),About 270 EUR,,"240 x 320 pixels, 4:3 ratio (~182 ppi density)",182 ppi density),No,"Black, White",,2.0,,True,False,,GSM / UMTS,,,,
Z300,Sony,False,False,False,False,"2005, November",Discontinued,91 g (3.21 oz),85.5,45,23 mm (3.37,Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",,,Removable Li-Ion battery,About 80 EUR,,"128 x 128 pixels, 1:1 ratio",,No,"2 - Granite Grey, Amethyst Purple",,No,,False,False,,GSM,,,,
J230,Sony,False,False,False,False,"2005, November",Discontinued,84 g (2.96 oz),102,44,18 mm (4.02,Mini-SIM,"STN, 65K colors","1.55 inches, 7.7 cm2(~17.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~117 ppi density)",17.3%,,Removable Li-Ion 900 mAh battery (BST-37),About 50 EUR,,"128 x 128 pixels, 1:1 ratio (~117 ppi density)",117 ppi density),No,"3 - Cosmo White, Cherry Red, Deep Blue",,No,,True,False,,GSM,,,,
J220,Sony,False,False,False,False,"2005, November",Discontinued,82 g (2.89 oz),102,44,18 mm (4.02,Mini-SIM,"STN, 65K colors","1.55 inches, 7.7 cm2(~17.3% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~117 ppi density)",17.3%,,Removable Li-Ion battery,About 50 EUR,,"128 x 128 pixels, 1:1 ratio (~117 ppi density)",117 ppi density),No,"2 - Smooth Black, Sky Blue",,No,,True,False,,GSM,,,,
W550,Sony,False,False,False,False,"2005, July",Discontinued,120 g (4.23 oz),93,46.5,22.5 mm (3.66,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~23.6% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),23.6%,,Removable Li-Po 900 mAh battery (BST-37),About 130 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,"Vibrant Orange, Orchid White, Universe Blue",,2.0,,False,False,,GSM,,,,
W600,Sony,False,False,False,False,"2005, June",Discontinued,120 g (4.23 oz),93,46.5,22.5 mm (3.66,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~23.6% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),23.6%,,Removable Li-Ion battery,About 130 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,Vibrant Orange,,2.0,,False,False,,GSM,,,,
S600,Sony,False,False,False,False,"2005, June",Cancelled,,93,46.5,22.5 mm (3.66,Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,,,Removable Li-Ion battery,,,176 x 220 pixels,,No,"3 - Universe blue, Orchid white, Radiant yellow",,Yes,,False,False,,GSM,,,,
Z520,Sony,False,False,False,False,"2005, June",Discontinued,96 g (3.39 oz),93,46,24 mm (3.66,Mini-SIM,"TFT, 65K colors","1.8 inches, 29 x 35 mm, 10.2 cm2(~23.8% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),23.8%,,Removable Li-Ion 900 mAh battery (BST-37),About 70 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,"Light Blue, Pale Purple, Pale Pink, Pale Yellow",,2.0,,True,False,,GSM,,,,
J210,Sony,False,False,False,False,"2005, June",Discontinued,74 g (2.61 oz),101,43,19 mm (3.98,Mini-SIM,"STN, 65K colors","1.6 inches, 8.3 cm2(~19.0% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",19.0%,,Removable Li-Ion 670 mAh battery (BST-30),About 40 EUR,,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",113 ppi density),No,"2 - Mineral Silver, Floral Green",,No,,False,False,,GSM,,,,
K608,Sony,False,False,False,False,"2005, June",Discontinued,105 g (3.70 oz),105,45.5,18.8 mm (4.13,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~21.3% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),21.3%,,Removable Li-Ion 900 mAh battery (BST-37),About 100 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,Aluminium Silver,,2.0,,False,False,,GSM / UMTS,,,,
W800,Sony,False,False,False,False,"2005, Q1",Discontinued,99 g (3.49 oz),100,46,20.5 mm (3.94,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),22.2%,,Removable Li-Po 900 mAh battery (BST-36),About 160 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,Smooth White,,2.0,,True,False,,GSM,,,,
K750,Sony,False,False,False,False,"2005, Q1",Discontinued,99 g (3.49 oz),100,46,20.5 mm (3.94,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~22.2% screen-to-body ratio)",176 x 220 pixels (~157 ppi density),22.2%,,Removable Li-Po 900 mAh battery (BST-36),About 140 EUR,,176 x 220 pixels (~157 ppi density),157 ppi density),No,"Black, Silver",,2.0,,True,False,,GSM,,,,
